symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
JSWSTEEL,2021-07-12,2021-07-19,651.4773559570312,672.5543823242188,0.03235266149231686,7,Metals,LONG,
DIXON,2021-07-19,2021-07-26,4636.19580078125,4540.5048828125,-0.020639964764349483,7,Capital Goods,LONG,
TATAELXSI,2021-02-08,2021-08-09,2689.363037109375,4088.7236328125,0.520331608783918,182,IT,LONG,
ASTRAL,2021-08-09,2021-08-16,1668.37109375,1512.7728271484375,-0.09326358337450213,7,Capital Goods,LONG,
COFORGE,2021-07-26,2021-08-23,883.6942749023438,927.3477172851562,0.049398806377507265,28,IT,LONG,
IRCTC,2021-08-16,2021-08-30,508.3482971191406,506.0555725097656,-0.004510145155138923,14,Railways,LONG,
DEEPAKNTR,2021-02-08,2021-08-30,995.4580688476562,2100.67333984375,1.1102579863313506,203,Chemicals,LONG,
ITBEES,2021-08-30,2021-09-06,34.880001068115234,35.52000045776367,0.018348605792718242,7,Other,LONG,
COFORGE,2021-08-30,2021-09-06,959.5338745117188,990.9544067382812,0.03274562061975317,7,IT,LONG,
SRF,2021-09-06,2021-09-13,2039.3597412109375,2036.99365234375,-0.0011602116190557732,7,Chemicals,LONG,
PERSISTENT,2021-02-08,2021-09-20,813.3199462890625,1709.3162841796875,1.1016529743046268,224,IT,LONG,
POLYCAB,2021-09-06,2021-09-27,2182.44189453125,2355.83056640625,0.07944709653415116,21,Capital Goods,LONG,
TATASTEEL,2021-02-08,2021-10-04,58.97440719604492,114.22929382324219,0.9369299201858343,238,Metals,LONG,
PERSISTENT,2021-09-27,2021-10-04,1813.86572265625,1760.165771484375,-0.02960525164632144,7,IT,LONG,
GODREJPROP,2021-10-04,2021-10-11,2233.300048828125,2359.5,0.05650828299497679,7,Real Estate,LONG,
MAXHEALTH,2021-10-04,2021-10-11,357.074462890625,348.3641357421875,-0.024393587482915424,7,Healthcare,LONG,
POLYCAB,2021-10-11,2021-10-18,2473.29736328125,2505.902099609375,0.013182699667325659,7,Capital Goods,LONG,
SRF,2021-09-20,2021-10-25,2188.7607421875,2186.5322265625,-0.001018163192552879,35,Chemicals,LONG,
DEEPAKNTR,2021-10-18,2021-10-25,2856.6279296875,2402.7197265625,-0.15889650815486323,7,Chemicals,LONG,
BAJFINANCE,2021-10-25,2021-11-01,756.4833374023438,726.0678100585938,-0.040206473612746874,7,Financials,LONG,
