date,from,to,probs
2025-04-07,0.0,3,"[0.2233893393235459, 0.0006248853417493646, 0.00019185999783616765, 0.7757939153368671]"
2025-04-21,3.0,1,"[1.4206718488480993e-08, 0.6747961022773374, 7.058134878712349e-05, 0.3251333021671709]"
2025-05-12,1.0,0,"[0.7304562553588043, 0.26789481688116346, 0.0016489237973968678, 3.962628088593632e-09]"
2025-06-09,0.0,3,"[0.24387299638849058, 0.034218801903142894, 0.0, 0.7219082017083838]"
2025-06-23,3.0,1,"[1.2237881174511244e-10, 0.7292997739436974, 0.002914663538268815, 0.2677855623956552]"
2025-06-30,1.0,3,"[0.004502958367941471, 0.2690360813756761, 0.0006472130535656641, 0.7258137472028242]"
2025-07-14,3.0,1,"[4.104737985467002e-05, 0.7545768337012738, 0.00011002423485440952, 0.24527209468400926]"
2025-08-25,1.0,3,"[1.947007524107333e-05, 0.266435043811833, 1.7280300199858865e-07, 0.7335453133099288]"
2025-09-01,3.0,2,"[7.060244067782932e-06, 0.0002920753749525483, 0.7307665183491125, 0.2689343460318696]"
2025-09-15,2.0,1,"[4.919416590975104e-07, 0.7306287082811861, 0.26853143463222384, 0.0008393651449367285]"
2025-09-22,1.0,2,"[3.52663088035118e-08, 0.2689725668453292, 0.7308692586723363, 0.00015813921602109436]"
2025-09-29,2.0,3,"[0.0007689239468207209, 0.0007705219577078678, 0.26887178236777987, 0.7295887717276995]"
2025-10-13,3.0,1,"[7.638983439008393e-21, 0.7308893447279496, 8.587433953829545e-05, 0.26902478093251897]"
2025-10-20,1.0,2,"[1.173881039480928e-07, 0.26887916369667975, 0.7188222957883573, 0.012298423126859359]"
2025-11-03,2.0,1,"[3.605075764896714e-07, 0.7234774976980044, 0.26830006565486036, 0.008222076139559872]"
2025-11-10,1.0,2,"[9.28781855187623e-08, 0.2661552106591199, 0.718038979750302, 0.01580571671239841]"
2025-12-01,2.0,1,"[4.3623777960989185e-06, 0.8481918603850093, 0.0001153173893416485, 0.15168845984786358]"
2025-12-08,1.0,2,"[3.0630392342806853e-40, 0.252616953415558, 0.7310943088924808, 0.016288737691962558]"
2025-12-22,2.0,1,"[4.558706254005239e-16, 0.7310590262867728, 0.26892655259763143, 1.4421115575782485e-05]"
